2023-06-03 15:48:07.042 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zylear.spring.cloud.register.CloudRegisterApplicationTests], using SpringBootContextLoader
2023-06-03 15:48:07.045 INFO  [main] o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.zylear.spring.cloud.register.CloudRegisterApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-06-03 15:48:07.045 INFO  [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.zylear.spring.cloud.register.CloudRegisterApplicationTests]: CloudRegisterApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-06-03 15:48:07.105 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.zylear.spring.cloud.register.CloudRegisterApplication for test class com.zylear.spring.cloud.register.CloudRegisterApplicationTests
2023-06-03 15:48:07.164 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-06-03 15:48:07.173 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6b58b9e9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@f14a7d4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@52e7a6b2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@29a5f4e7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@79c97cb, org.springframework.test.context.event.EventPublishingTestExecutionListener@2d9caaeb, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@42a15bdc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@44a59da3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@27e47833, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6f6745d6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@27508c5d, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4f704591]
2023-06-03 15:48:07.525 INFO  [main] c.z.s.c.r.CloudRegisterApplicationTests - No active profile set, falling back to default profiles: default
2023-06-03 15:48:07.850 WARN  [main] o.s.b.a.e.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2023-06-03 15:48:07.973 INFO  [main] c.z.s.c.r.CloudRegisterApplication - start.
2023-06-03 15:48:07.982 INFO  [main] o.s.c.c.s.GenericScope - BeanFactory id=d7c1cc7b-1567-36ad-b03e-355bf143f46b
2023-06-03 15:49:54.871 INFO  [main] c.z.s.c.r.CloudRegisterApplication - start.
2023-06-03 15:49:55.611 INFO  [main] c.z.s.c.r.CloudRegisterApplication - No active profile set, falling back to default profiles: default
